"Country","year","pandem","libdem_2019","panback","Bicameralism legislature","Total score","Status","Judicial review","Executive dominance","Minimal winning/ one-party c","bicameralism","pluralism","federalism","Indicator Name","2018","2019","total_cases","total_deaths","total_vaccinations","population","population_density","gdp_per_capita","Rate - World Bank ","Year (WB)","Rate - Int'l. Labour Org.","Year (ILO)","Rate - CIA","Year (CIA)","rank","happiness2021","happiness2020","pop2022"
"Albania",2021,0.125,0.407,0.1206755,1,67,"Partly Free",-0.493371794871795,0.391358974358974,0.739923076923077,0,0.352160256410256,0,"Gini index",30.1,30.8,143328.77092511,2460.77092511013,1060491.46255507,2872934,104.871,11803.431,0.117,"2020",0.115,2019,0.0583,2019,91,5.117,4.883,2866.374
"Algeria",2021,0.15,0.145,0.074385,2,32,"Not Free",-0.843122950819672,0.433106557377049,-1.14847540983607,0.204334016393443,0.302002049180328,0.570306593806922,"Gini index",0,0,191679.3,5428.45,9258686.9,44616626,17.348,13913.839,0,"0",0,0,0,0,107,4.887,5.005,45350.148
"Angola",2021,0.25,0.211,0.166479,1,30,"Not Free",-0.582525,0.110275,-0.80275,0,0.2834625,0,"Gini index",51.3,0,46267.5,1161.18,3605108.56,33933611,23.89,5819.495,0,"0",0,0,0,0,0,0,0,0
"Argentina",2020,0.45,0.605,0.430155,2,84,"Free",1.64360273972603,0.612541095890411,0.42991095890411,0.815169520547945,-0.0514948630136986,7.5351453196347,"Gini index",41.3,42.9,1613868.33333333,43142,34825.3333333333,45605823,16.177,18933.907,0.115,"2020",0.098,2019,0.0984,2019,56,5.929,5.975,46010.234
"Argentina",2021,0.45,0.605,0.430155,2,84,"Free",1.64360273972603,0.612541095890411,0.42991095890411,0.815169520547945,-0.0514948630136986,7.5351453196347,"Gini index",41.3,42.9,3945783.7260274,86797.7589041096,29427397.9150685,45605823,16.177,18933.907,0.115,"2020",0.098,2019,0.0984,2019,56,5.929,5.975,46010.234
"Armenia",2021,0,0.636,0,1,55,"Partly Free",1.43013333333333,0.367733333333333,0.394866666666667,0,0.178683333333333,-0.0122676666666667,"Gini index",34.4,29.9,263316.878787879,5451.09090909091,488982.333333333,2968128,102.931,8787.58,0,"0",0,0,0,0,84,5.283,4.677,2971.966
"Australia",2021,0,0.791,0,2,95,"Free",1.80517355371901,0.929834710743802,-0.862380165289256,1,-0.36525826446281,12.9391068640955,"Gini index",34.3,0,86784.8964401295,1219.70226537217,16933200.6537217,25788217,3.202,44648.71,0.065,"2020",0.065,2020,0.0516,2019,11,7.183,7.223,26068.792
"Austria",2021,0,0.768,0,2,93,"Free",1.18698601398601,0.660356643356643,-0.190615384615385,1.17577800699301,-0.568215034965035,6.77941497668998,"Gini index",30.8,30.2,696880.288461538,10401.4038461538,7374207.11538462,9043072,106.749,45436.686,0.054,"2020",0.054,2020,0.0735,2019,10,7.268,7.294,9066.71
"Azerbaijan",2021,0.15,0.06,0.03384,1,9,"Not Free",0.74895652173913,0.069695652173913,-0.726173913043478,0,0.400054347826087,0,"Gini index",0,0,411451.37593985,5687.01879699248,5632238.53007519,10223344,119.309,15847.419,0,"0",0,0,0,0,88,5.171,5.165,10300.205
"Belarus",2020,0.35,0.112,0.1392384,2,8,"Not Free",0.66015625,0.17896875,-0.869125,0.797296875,0.468046875,0.835903513888889,"Gini index",25.2,25.3,188588,1394,0,9442867,46.858,17167.967,0,"0",0,0,0,0,73,5.534,5.54,9432.8
"Belarus",2021,0.25,0.112,0.099456,2,8,"Not Free",0.66015625,0.17896875,-0.869125,0.797296875,0.468046875,0.835903513888889,"Gini index",25.2,25.3,486575.4375,3703.84375,3054590.03125,9442867,46.858,17167.967,0,"0",0,0,0,0,73,5.534,5.54,9432.8
"Belgium",2020,0.0666666666666667,0.823,0.0388456,2,96,"Free",0.688,0.829912087912088,-0.121527472527473,1.02356346291209,-0.531717032967033,2.69409741758242,"Gini index",27.2,27.2,642970.75,19391,646,11632334,375.564,42658.576,0.055,"2020",0.056,2020,0.0536,2019,20,6.834,6.864,11668.278
"Belgium",2021,0.125,0.823,0.0728355,2,96,"Free",0.688,0.829912087912088,-0.121527472527473,1.02356346291209,-0.531717032967033,2.69409741758242,"Gini index",27.2,27.2,1131790.49315068,24512.7287671233,10131935.6054795,11632334,375.564,42658.576,0.055,"2020",0.056,2020,0.0536,2019,20,6.834,6.864,11668.278
"Benin",2021,0.25,0.379,0.235359,1,59,"Partly Free",0.907304347826087,0.814,0.87904347826087,0,-0.363228260869565,0,"Gini index",37.8,0,17419.5909090909,136.090909090909,424019.409090909,12451031,99.11,2064.236,0,"0",0,0,0,0,97,5.045,5.216,12784.726
"Bolivia",2021,0,0.318,0,2,66,"Partly Free",0.592084112149533,0.32218691588785,0.508401869158879,0.953271028037383,-0.0093714953271028,0.544694963655244,"Gini index",42.6,41.6,416476.885885886,16099.2282282282,4017059.68168168,11832936,10.202,6885.829,0,"0",0,0,0,0,68,5.716,5.747,11992.656
"Bosnia and Herzegovina",2021,0.05,0.345,0.045195,2,53,"Partly Free",1.56762962962963,0.426111111111111,0.304,0.689601851851852,0.130231481481481,5.55429679012346,"Gini index",0,0,206592.105263158,9375.63157894737,611848.105263158,3263459,68.496,11713.895,0,"0",0,0,0,0,63,5.813,5.674,3249.317
"Brazil",2021,0.325,0.523,0.3243123,2,73,"Free",0.551798994974874,0.406768844221106,0.523718592964824,0.633165829145729,0.207126884422111,4.25518525404802,"Gini index",53.9,53.5,17378813.9393064,475402.656069364,137114463.586705,213993441,25.04,14103.452,0.137,"2020",0.137,2020,0.1193,2019,34,6.33,6.376,215353.593
"Bulgaria",2020,0.1,0.513,0.0999324,1,79,"Free",-1.20574468085106,0.456858156028369,0.0456737588652482,0,0.151978723404255,-0.262298463356974,"Gini index",41.3,40.3,200355.5,7460,3163.5,6896655,65.18,18563.307,0.051,"2020",0.051,2020,0.0566,2019,86,5.266,5.102,6844.597
"Bulgaria",2021,0,0.513,0,1,79,"Free",-1.20574468085106,0.456858156028369,0.0456737588652482,0,0.151978723404255,-0.262298463356974,"Gini index",41.3,40.3,437522.098550725,18027.6289855072,1644572.84927536,6896655,65.18,18563.307,0.051,"2020",0.051,2020,0.0566,2019,86,5.266,5.102,6844.597
"Burkina Faso",2021,0,0.508,0,1,53,"Partly Free",0.999375,0.6703125,0.7569375,0,-0.355328125,0,"Gini index",47.3,0,14295.2941176471,195.411764705882,271513.529411765,21497097,70.151,1703.102,0,"0",0,0,0,0,111,4.834,4.769,22102.838
"Burundi",2021,0.15,0.054,0.0306504,2,14,"Not Free",0.608905660377358,0.199179245283019,0.467716981132075,0.144986599056604,-0.0249127358490566,0,"Gini index",0,0,20424.2380952381,38,2093.52380952381,12255429,423.062,702.225,0,"0",0,0,0,0,137,3.775,3.775,12624.84
"Cambodia",2021,0.375,0.068,0.095064,2,24,"Not Free",-0.858366197183099,0.204577464788732,0.118507042253521,0.855725352112676,0.0689859154929578,0,"Gini index",0,0,70279.2191780822,1432.02054794521,14694192.7568493,16946446,90.672,3645.07,0,"0",0,0,0,0,112,4.83,4.848,17168.639
"Cameroon",2021,0.15,0.122,0.0642696,2,15,"Not Free",-0.321098360655738,0.229836065573771,-1.49288524590164,0.131852459016393,0.235930327868852,0,"Gini index",0,0,88227,1431.57142857143,384899.448979592,27224262,50.885,3364.926,0,"0",0,0,0,0,89,5.142,5.085,27911.548
"Canada",2020,0,0.769,0,2,98,"Free",0.365475138121547,0.790845303867403,-0.54371270718232,1.29561395027624,-0.404716850828729,11.7816947421731,"Gini index",0,0,532445.111111111,15509.5555555556,35678.3333333333,38067913,4.037,44017.591,0.095,"2020",0.095,2020,0.0567,2019,14,7.103,7.232,38388.419
"Canada",2021,0,0.769,0,2,98,"Free",0.365475138121547,0.790845303867403,-0.54371270718232,1.29561395027624,-0.404716850828729,11.7816947421731,"Gini index",0,0,1346139.96986301,25831.9068493151,33297037.7945205,38067913,4.037,44017.591,0.095,"2020",0.095,2020,0.0567,2019,14,7.103,7.232,38388.419
"Central African Republic",2021,0.15,0.22,0.10296,1,7,"Not Free",-0.194276595744681,0.29836170212766,-0.275744680851064,0,0.300696808510638,0,"Gini index",0,0,9286.25,98.85,173117.95,4919987,7.479,661.24,0,"0",0,0,0,0,0,0,0,0
"Chad",2021,0.15,0.094,0.0510984,1,15,"Not Free",0.477388888888889,0.144462962962963,-0.730814814814815,0,0.327328703703704,0,"Gini index",37.5,0,5062.76470588235,174.588235294118,127936.088235294,16914985,11.833,1768.153,0,"0",0,0,0,0,125,4.355,4.423,17413.58
"Chile",2020,0.1,0.793,0.0656604,2,94,"Free",-0.481984126984127,0.748656084656085,0.488957671957672,0.738694444444444,0.30871164021164,-0.0418693062904174,"Gini index",0,0,601302.375,16443.25,7150.5,19212362,24.282,22767.037,0.112,"2020",0.112,2020,0.0722,2019,42,6.172,6.228,19250.195
"Chile",2021,0,0.793,0,2,94,"Free",-0.481984126984127,0.748656084656085,0.488957671957672,0.738694444444444,0.30871164021164,-0.0418693062904174,"Gini index",0,0,1360013.87671233,30448.5205479452,21713267.4547945,19212362,24.282,22767.037,0.112,"2020",0.112,2020,0.0722,2019,42,6.172,6.228,19250.195
"China",2020,0.716666666666667,0.048,0.1309952,1,9,"Not Free",-2.02347422680412,0.114886597938144,-0.957670103092783,0,0.274301546391753,0,"Gini index",38.5,38.2,93435.5,4634,3e+06,1444216102,147.674,15308.712,0.052,"2019",0.052,2019,0.0364,2019,82,5.339,5.124,1448471.4
"China",2021,0.75,0.048,0.137088,1,9,"Not Free",-2.02347422680412,0.114886597938144,-0.957670103092783,0,0.274301546391753,0,"Gini index",38.5,38.2,104523.118644068,4635.99661016949,1491786253.22034,1444216102,147.674,15308.712,0.052,"2019",0.052,2019,0.0364,2019,82,5.339,5.124,1448471.4
